Anaee-france Variable Naming Standard;Categorie(s) AnaEE;Contexte(s);prefix Entité si autre que anaee-france;Entité;prefix Caractéristique si autre que anaee-france;Caractéristique;Protocol;Qualificatifs (flexible);prefix Unité si autre que anaee-france;nom de l'unité (display name);nom varaiable (fr) dans bd;nom (fr) type de donnée dans la bd
air carbon dioxide  molar fraction;Meteorology , carbon cycle;atmosphere, air;;carbon dioxyde;;molar fraction;;half-hourly average;;micromole per mole;CO2;flux sh
